Term,Abbreviation
abandon ship,ABDNSHP
abbreviate,ABBR
abnormal,ABNL
about,ABT
above,ABV
above baseline,ABL
above water,AW
abrasion,ABRS
abrasion resistant,AR
abrasive,ABRSV
abrasive-resistant,ABRSVRES
absolute,ABS
absolute ceiling,ABSCLG
absorption,ABSORB
abstract,ABSTR
accelerate,ACCEL
accelerator,ACLTR
accelerometer,ACCLRM
accept,ACPT
acceptable quality level,AQL
acceptable quality test,AQT
acceptable reliability level,ARL
acceptor,ACPTR
access,ACS
access opening,AO
access panel,AP
access time,ACST
accessory,ACCESS
accident,ACDT
accommodate,ACCOM
accordance with,AW
account,ACCT
accumulate,ACCUM
accumulator,ACC
accumulator switch,ACS
accurate,ACCUR
acetate,ACTT
acetate [insul] (see cellulose acetate),ACET
acetylene,
acid waste,AW
acidproof,AP
acidproof floor,APF
acid-resisting,AR
acknowledge,ACK
acoustic,ACST
acoustic mine sweeping,AMNSWP
acoustical plaster ceiling,APC
acoustical tile ceiling,ATC
acquire,ACQ
acquisition,ACQ
acquisition advice code,AAC
Acquisition Streamlining and Standardization Information Systems,ASSIST
across,ACR
across flats,ACRFLT
acrylic,ACRYL
action,ACTN
action cutout,ACO
action time,AT
activate,ACTVT
activation analysis,ACTVNANAL
activator,ACTVTR
active element group,AEG
activity,ACT
actual,ACTL
actual mating envelope,AME
actuate,ACTE
actuating,ACTG
actuator,ACTR
adaptation,ADAPT
adapter,ADPTR
adapter booster,AB
adaptive flight control systems,AFCS
addendum,ADD
addition,ADD
additional,ADDL
additive,AADT
address,ADRS
adhere,ADH
adhesive,ADH
adjacent,ADJ
adjust,ADJ
adjustable speed,ADJSP
administer,ADMIN
admitting,ADMG
adoptive flight control system,AFCS
adsorbent,ADSORB
advance,ADV
advance alteration notice,AAN
advance change notice,CAN
Advance Drawing Change Notice,ADCN
advance engineering change proposal,AECP
advance material request,AMR
Advance Revision Authorization Document,ARAD
advanced battery acquisition  radar,ABAR
advertisement,AD
advisory,ADVSY
aerodynamic,AERODYN
aerodynamic center,AC
aerological,AEROL
aeronautic,AERO
aeronautical material specification,AMS
aeronautical national taper  pipe thread,ANPT
aeronautical recommended practice,ARP
aeronautical standards group,ASG
Aerospace and Advanced Engineering Drawing,AED
aerospace ground equipment,AGE
after,AFT
after cooler,AFTCLR
after engine room,AER
after peak,AP
after perpendicular,AP
after torpedo room,ATRM
afterburner,AB
aftertreatment,AFTM
agent,AGT
aggregate,AGGR
agitate,AG
aileron,AIL
air blast,AB
air blast circuit breaker,ABCB
air blast transformer,ABT
air circuit breaker,ACB
air circulating,ACIRC
air cleaner,AIRCLNR
air conditioning,AC
air data computing,ADC
air escape,AE
Air Force-Navy,AN
Air Force-Navy Aeronautical,ANA
Air Force-Navy Design,AND
Air Force-Navy-Civil,ANC
air header,AHDR
air induction,AINDTN
air inlet heater,AIH
air installations,AI
air lock,AL
air movement data,AMD
air munitions,AMUN
air over,AO
air over hydraulic,AH
air passage,AP
air route traffic control center,ARTCC
air scoop,AS
air shutoff,ASHOF
air shutter,AIRSHTR
air starting,ASTRG
air traffic control,ATC
air transport radio,ATR
air turbine motor,ATM
airborne,ABN
airborne early warning,AEW
airborne interceptor,AI
airborne surveillance radar,ASR
air-break switch,ABSW
air-condition,AIRCOND
air-cooled,ACLD
aircraft,ACFT
aircraft approach light,AAL
aircraft control and warning,ACW
airframe,AFR
airframe-mounted accessory drive,AMAD
airplane,APL
airport,APRT
airport surveillance radar,APSR
air-position indicator,API
airspeed,AS
airspeed indicator,AI
airtight,AT
air-to-air,AA
air-to-air after cooler,ATAAC
air-to-air identification,AAI
air-to-air-missile,AAM A
air-to-ground,AG
air-to-surface missile,ASM
air-to-underwater missile,AUM
alarm,ALM
alarm check valve,ACV
alclad,ALCD
alcohol,ALC
algebra,ALG
algebraic compiler and translator,ACT
algorithm,ALGO
algorithmic-oriented language,ALGOL
alidade,ALDD
alignment,ALIGN
alkaline,ALK
